time,source,destination,cwnd,mss
2024-11-11T14:17:07.712, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:07.712, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:07.871, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:07.871, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:07.871, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:08.024, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:08.024, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:08.024, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:08.178, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:08.178, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:08.178, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:08.336, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:08.336, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:08.336, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:08.494, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:08.494, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:08.494, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:08.653, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:08.653, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:08.653, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:08.814, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:08.814, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:08.814, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:08.976, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:08.976, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:08.976, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:09.132, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:09.132, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:09.132, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:09.290, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:09.290, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:09.290, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:09.483, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:09.483, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:09.483, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:09.646, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:09.646, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:09.646, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:09.808, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:09.808, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:09.808, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:10.094, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:10.094, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:10.094, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:10.431, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:10.431, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:10.431, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:10.624, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:10.624, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:10.624, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
