time,source,destination,cwnd,mss,snd_wnd
2024-11-11T12:22:24.608, 10.0.3.101:22, 10.0.3.1:43842, 10, 1448, 64256
2024-11-11T12:22:45.253, 10.0.3.101:22, 10.0.3.1:48424, 10, 1448, 64256
2024-11-11T12:22:45.421, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:45.421, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:45.421, 10.0.3.101:46396, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T12:22:45.669, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:45.669, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:45.669, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:45.928, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:45.928, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:45.928, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:46.182, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:46.182, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:46.182, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:46.345, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:46.345, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:46.345, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:46.497, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:46.497, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:46.497, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:46.622, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:46.622, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:46.622, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2089408
2024-11-11T12:22:46.782, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:46.782, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:46.782, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:46.935, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:46.935, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:46.935, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:47.061, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:47.061, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:47.061, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2097920
2024-11-11T12:22:47.224, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:47.224, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:47.224, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:47.343, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:47.343, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:47.343, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2062272
2024-11-11T12:22:47.506, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:47.506, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:47.506, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2091136
2024-11-11T12:22:47.685, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:47.685, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:47.685, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:47.789, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:47.789, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:47.789, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2057792
2024-11-11T12:22:47.965, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:47.965, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:47.965, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:48.074, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:48.074, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:48.074, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2060096
2024-11-11T12:22:48.234, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:48.234, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:48.234, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:48.370, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:48.370, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:48.370, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2082240
2024-11-11T12:22:48.506, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:48.506, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:48.506, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2089408
2024-11-11T12:22:48.684, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:48.684, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:48.684, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:48.788, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:48.788, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:48.788, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2062272
2024-11-11T12:22:48.953, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:48.953, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:48.953, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:49.075, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:49.075, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:49.075, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2020928
2024-11-11T12:22:49.230, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:49.230, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:49.230, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2098752
2024-11-11T12:22:49.406, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:49.406, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:49.406, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:49.524, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:49.524, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:49.524, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2062272
2024-11-11T12:22:49.681, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:49.681, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:49.681, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2093312
2024-11-11T12:22:49.854, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:49.854, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:49.854, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:49.956, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:49.956, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:49.956, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2097920
2024-11-11T12:22:50.127, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:50.127, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:50.127, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:50.280, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:50.280, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:50.280, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:50.408, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:50.408, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:50.408, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2092544
2024-11-11T12:22:50.578, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:50.578, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:50.578, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:50.681, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:50.681, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:50.681, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2071552
2024-11-11T12:22:50.841, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:50.841, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:50.841, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:50.943, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:50.943, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:50.943, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2062272
2024-11-11T12:22:51.108, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:51.108, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:51.108, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:51.248, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:51.248, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:51.248, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2026560
2024-11-11T12:22:51.381, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:51.381, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:51.381, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2094848
2024-11-11T12:22:51.543, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:51.543, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:51.543, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:51.648, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:51.648, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:51.648, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2055296
2024-11-11T12:22:51.817, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:51.817, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:51.817, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:51.991, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:51.991, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:51.991, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:52.093, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:52.093, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:52.093, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2097920
2024-11-11T12:22:52.269, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:52.269, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:52.269, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:52.382, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:52.382, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:52.382, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2052160
2024-11-11T12:22:52.542, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:52.542, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:52.542, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2107264
2024-11-11T12:22:52.710, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:52.710, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:52.710, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:52.815, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:52.815, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:52.815, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2051392
2024-11-11T12:22:52.981, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:52.981, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:52.981, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:53.146, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:53.146, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
2024-11-11T12:22:53.146, 10.0.3.101:46396, 10.0.1.101:5211, 29, 1448, 2128512
2024-11-11T12:22:53.253, 10.0.3.101:22, 10.0.3.1:48424, 14, 1448, 64128
2024-11-11T12:22:53.253, 10.0.3.101:46382, 10.0.1.101:5211, 19, 1448, 65536
