time,source,destination,cwnd,mss
2024-10-22T13:59:46.501, 10.0.2.101:22, 10.0.2.1:51072, 10, 1448
2024-10-22T14:00:07.623, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:07.769, 10.0.2.101:44778, 10.0.1.101:5211, 10, 524
2024-10-22T14:00:07.769, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:07.769, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:07.997, 10.0.2.101:44778, 10.0.1.101:5211, 9, 1448
2024-10-22T14:00:07.997, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:07.997, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:08.217, 10.0.2.101:44778, 10.0.1.101:5211, 8, 1448
2024-10-22T14:00:08.217, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:08.217, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:08.403, 10.0.2.101:44778, 10.0.1.101:5211, 8, 1448
2024-10-22T14:00:08.403, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:08.403, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:08.600, 10.0.2.101:44778, 10.0.1.101:5211, 9, 1448
2024-10-22T14:00:08.600, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:08.600, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:08.770, 10.0.2.101:44778, 10.0.1.101:5211, 8, 1448
2024-10-22T14:00:08.770, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:08.770, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:08.946, 10.0.2.101:44778, 10.0.1.101:5211, 8, 1448
2024-10-22T14:00:08.946, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:08.946, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:09.156, 10.0.2.101:44778, 10.0.1.101:5211, 7, 1448
2024-10-22T14:00:09.156, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:09.156, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:09.343, 10.0.2.101:44778, 10.0.1.101:5211, 7, 1448
2024-10-22T14:00:09.343, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:09.343, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:09.526, 10.0.2.101:44778, 10.0.1.101:5211, 7, 1448
2024-10-22T14:00:09.526, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:09.526, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:09.696, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:09.696, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:09.696, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:09.871, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:09.871, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:09.871, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:10.052, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:10.052, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:10.052, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:10.215, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:10.215, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:10.215, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:10.398, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:10.398, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:10.398, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:10.584, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:10.584, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:10.584, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:10.767, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:10.767, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:10.767, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:10.960, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:10.960, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:10.960, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:11.147, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:11.147, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:11.147, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:11.306, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:11.306, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:11.306, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:11.494, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:11.494, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:11.494, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:11.688, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:11.688, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:11.688, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:11.861, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:11.861, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:11.861, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:12.059, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:12.059, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:12.059, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:12.261, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:12.261, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:12.261, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:12.467, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:12.467, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:12.467, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:12.652, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:12.652, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:12.652, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:12.838, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:12.838, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:12.838, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:13.012, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:13.012, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:13.012, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:13.194, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:13.194, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:13.194, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:13.390, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:13.390, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:13.390, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:13.557, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:13.557, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:13.557, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:13.738, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:13.738, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:13.738, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:13.911, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:13.911, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:13.911, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:14.105, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:14.105, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:14.105, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:14.287, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:14.287, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:14.287, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:14.462, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:14.462, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:14.462, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:14.646, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:14.646, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:14.646, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:14.799, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:14.799, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:14.799, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:14.958, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:14.958, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:14.958, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:15.135, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:15.135, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:15.135, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:15.319, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:15.319, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:15.319, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:15.488, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:15.488, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:15.488, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:15.657, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:15.657, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:15.657, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:15.833, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:15.833, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:15.833, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:16.015, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:16.015, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:16.015, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:16.183, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:16.183, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:16.183, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:16.382, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:16.382, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:16.382, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:16.568, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:16.568, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:16.568, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:16.760, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:16.760, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:16.760, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:16.910, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:16.910, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:16.910, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:17.101, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:17.101, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:17.101, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
2024-10-22T14:00:17.290, 10.0.2.101:44778, 10.0.1.101:5211, 6, 1448
2024-10-22T14:00:17.290, 10.0.2.101:44768, 10.0.1.101:5211, 19, 1448
2024-10-22T14:00:17.290, 10.0.2.101:22, 10.0.2.1:37632, 9, 1448
