time,source,destination,cwnd,mss
2024-11-11T13:48:53.513, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:53.513, 10.0.3.101:41098, 10.0.1.101:5210, 215, 1448, 1063552
2024-11-11T13:48:53.656, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:53.656, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:53.656, 10.0.3.101:41098, 10.0.1.101:5210, 157, 1448, 1063552
2024-11-11T13:48:53.790, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:53.790, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:53.790, 10.0.3.101:41098, 10.0.1.101:5210, 167, 1448, 1063552
2024-11-11T13:48:53.927, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:53.927, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:53.927, 10.0.3.101:41098, 10.0.1.101:5210, 176, 1448, 1063552
2024-11-11T13:48:54.056, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:54.056, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:54.056, 10.0.3.101:41098, 10.0.1.101:5210, 184, 1448, 1063552
2024-11-11T13:48:54.190, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:54.190, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:54.190, 10.0.3.101:41098, 10.0.1.101:5210, 191, 1448, 1063552
2024-11-11T13:48:54.325, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:54.325, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:54.325, 10.0.3.101:41098, 10.0.1.101:5210, 200, 1448, 1063552
2024-11-11T13:48:54.455, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:54.455, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:54.455, 10.0.3.101:41098, 10.0.1.101:5210, 207, 1448, 1063552
2024-11-11T13:48:54.587, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:54.587, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:54.587, 10.0.3.101:41098, 10.0.1.101:5210, 215, 1448, 1063552
2024-11-11T13:48:54.728, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:54.728, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:54.728, 10.0.3.101:41098, 10.0.1.101:5210, 222, 1448, 1063552
2024-11-11T13:48:54.863, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:54.863, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:54.863, 10.0.3.101:41098, 10.0.1.101:5210, 161, 1448, 1063552
2024-11-11T13:48:55.009, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:55.009, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:55.009, 10.0.3.101:41098, 10.0.1.101:5210, 169, 1448, 1063552
2024-11-11T13:48:55.149, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:55.149, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:55.149, 10.0.3.101:41098, 10.0.1.101:5210, 180, 1448, 1063552
2024-11-11T13:48:55.282, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:55.282, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:55.282, 10.0.3.101:41098, 10.0.1.101:5210, 188, 1448, 1063552
2024-11-11T13:48:55.417, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:55.417, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:55.417, 10.0.3.101:41098, 10.0.1.101:5210, 139, 1448, 1063552
2024-11-11T13:48:55.556, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:55.556, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:55.556, 10.0.3.101:41098, 10.0.1.101:5210, 150, 1448, 1063552
2024-11-11T13:48:55.687, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:55.687, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:55.687, 10.0.3.101:41098, 10.0.1.101:5210, 160, 1448, 1063552
2024-11-11T13:48:55.826, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:55.826, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:55.826, 10.0.3.101:41098, 10.0.1.101:5210, 170, 1448, 1063552
2024-11-11T13:48:55.957, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:55.957, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:55.957, 10.0.3.101:41098, 10.0.1.101:5210, 178, 1448, 1063552
2024-11-11T13:48:56.089, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:56.089, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:56.089, 10.0.3.101:41098, 10.0.1.101:5210, 187, 1448, 1063552
2024-11-11T13:48:56.223, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:56.223, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:56.223, 10.0.3.101:41098, 10.0.1.101:5210, 196, 1448, 1063552
