time,source,destination,cwnd,mss
2024-11-02T16:14:39.834, 10.0.2.101:22, 10.0.2.1:38778, 14, 1448
2024-11-02T16:14:40.707, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:40.885, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:40.885, 10.0.2.101:47312, 10.0.1.101:5210, 10, 524
2024-11-02T16:14:41.009, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:41.009, 10.0.2.101:47312, 10.0.1.101:5210, 10, 524
2024-11-02T16:14:41.130, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:41.130, 10.0.2.101:47312, 10.0.1.101:5210, 10, 524
2024-11-02T16:14:41.252, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:41.252, 10.0.2.101:47312, 10.0.1.101:5210, 10, 524
2024-11-02T16:14:41.378, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:41.378, 10.0.2.101:47312, 10.0.1.101:5210, 10, 524
2024-11-02T16:14:41.525, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:41.525, 10.0.2.101:47312, 10.0.1.101:5210, 10, 524
2024-11-02T16:14:41.657, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:41.657, 10.0.2.101:47312, 10.0.1.101:5210, 10, 524
2024-11-02T16:14:41.776, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:41.776, 10.0.2.101:47312, 10.0.1.101:5210, 10, 524
2024-11-02T16:14:41.905, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:41.905, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
2024-11-02T16:14:42.030, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:42.030, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
2024-11-02T16:14:42.156, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:42.156, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
2024-11-02T16:14:42.274, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:42.274, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
2024-11-02T16:14:42.383, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:42.383, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
2024-11-02T16:14:42.509, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:42.509, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
2024-11-02T16:14:42.629, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:42.629, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
2024-11-02T16:14:42.765, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:42.765, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
2024-11-02T16:14:42.886, 10.0.2.101:22, 10.0.2.1:38784, 14, 1448
2024-11-02T16:14:42.886, 10.0.2.101:47312, 10.0.1.101:5210, 1, 524
