time,source,destination,cwnd,mss
2024-11-05T03:23:11.151, 10.0.2.101:22, 10.0.2.1:53822, 10, 1448
2024-11-05T03:23:31.837, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:31.999, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:31.999, 10.0.2.101:38556, 10.0.1.101:5211, 12, 1448
2024-11-05T03:23:31.999, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:32.188, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:32.188, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:32.188, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:32.375, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:32.375, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:32.375, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:32.561, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:32.561, 10.0.2.101:38556, 10.0.1.101:5211, 13, 1448
2024-11-05T03:23:32.561, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:32.741, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:32.741, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:32.741, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:32.923, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:32.923, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:32.923, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:33.103, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:33.103, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:33.103, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:33.280, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:33.280, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:33.280, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:33.467, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:33.467, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:33.467, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:33.646, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:33.646, 10.0.2.101:38556, 10.0.1.101:5211, 13, 1448
2024-11-05T03:23:33.646, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:33.826, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:33.826, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:33.826, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:34.015, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:34.015, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:34.015, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:34.196, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:34.196, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:34.196, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:34.382, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:34.382, 10.0.2.101:38556, 10.0.1.101:5211, 14, 1448
2024-11-05T03:23:34.382, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:34.565, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:34.565, 10.0.2.101:38556, 10.0.1.101:5211, 13, 1448
2024-11-05T03:23:34.565, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
2024-11-05T03:23:34.755, 10.0.2.101:22, 10.0.2.1:34638, 10, 1448
2024-11-05T03:23:34.755, 10.0.2.101:38556, 10.0.1.101:5211, 13, 1448
2024-11-05T03:23:34.755, 10.0.2.101:38550, 10.0.1.101:5211, 16, 1448
