time,source,destination,cwnd,mss
2024-10-14T19:30:18.742, 10.0.1.101:22, 10.0.1.1:49228, 35, 1448
2024-10-14T19:30:26.450, 10.0.2.101:43720, 10.0.1.101:5210, 1, 524
2024-10-14T19:30:26.450, 10.0.1.101:5210, 10.0.2.101:43720, 10, 1448
2024-10-14T19:30:38.984, 10.0.2.101:43720, 10.0.1.101:5210, 1, 524
2024-10-14T19:30:38.984, 10.0.1.101:5210, 10.0.2.101:43720, 10, 1448
2024-10-14T19:30:59.154, 10.0.3.101:35392, 10.0.1.101:5211, 1, 524
2024-10-14T19:30:59.154, 10.0.2.101:43720, 10.0.1.101:5210, 1, 524
2024-10-14T19:30:59.154, 10.0.1.101:5211, 10.0.3.101:35392, 10, 1448
2024-10-14T19:30:59.154, 10.0.1.101:5210, 10.0.2.101:43720, 10, 1448
2024-10-14T19:31:44.214, 10.0.3.101:35392, 10.0.1.101:5211, 1, 524
2024-10-14T19:31:44.214, 10.0.1.101:22, 10.0.1.1:60482, 35, 1448
2024-10-14T19:31:44.214, 10.0.2.101:43720, 10.0.1.101:5210, 1, 524
2024-10-14T19:31:44.214, 10.0.1.101:5211, 10.0.3.101:35392, 10, 1448
2024-10-14T19:31:44.214, 10.0.1.101:5210, 10.0.2.101:43720, 10, 1448
2024-10-14T19:32:34.668, 10.0.3.101:35392, 10.0.1.101:5211, 1, 524
2024-10-14T19:32:34.668, 10.0.1.101:5212, 10.0.1.100:36410, 10, 1448
2024-10-14T19:32:34.668, 10.0.2.101:43720, 10.0.1.101:5210, 1, 524
2024-10-14T19:32:34.668, 10.0.1.101:5211, 10.0.3.101:35392, 10, 1448
2024-10-14T19:32:34.668, 10.0.1.101:5210, 10.0.2.101:43720, 10, 1448
2024-10-14T19:32:34.668, 10.0.1.100:36410, 10.0.1.101:5212, 1, 524
2024-10-14T19:33:07.904, 10.0.3.101:35392, 10.0.1.101:5211, 1, 524
2024-10-14T19:33:07.904, 10.0.1.101:5212, 10.0.1.100:36410, 10, 1448
2024-10-14T19:33:07.904, 10.0.1.101:5211, 10.0.3.101:35392, 10, 1448
2024-10-14T19:33:07.904, 10.0.1.100:36410, 10.0.1.101:5212, 1, 524
2024-10-14T19:33:25.646, 10.0.1.101:5212, 10.0.1.100:36410, 10, 1448
2024-10-14T19:33:25.646, 10.0.1.100:36410, 10.0.1.101:5212, 1, 524
2024-10-14T19:33:38.212, 10.0.1.101:5212, 10.0.1.100:36410, 10, 1448
2024-10-14T19:33:38.212, 10.0.1.100:36410, 10.0.1.101:5212, 1, 524
2024-10-14T19:33:52.066, 10.0.1.101:5212, 10.0.1.100:36410, 10, 1448
2024-10-14T19:33:52.066, 10.0.1.100:36410, 10.0.1.101:5212, 1, 524
2024-10-14T19:33:52.718, 10.0.1.101:22, 10.0.1.1:47310, 10, 1448
2024-10-14T19:33:53.855, 10.0.1.101:22, 10.0.1.1:41620, 14, 1448
