time,source,destination,cwnd,mss
2024-11-11T17:23:46.729, 10.0.3.101:22, 10.0.3.1:57888, 12, 1448, 64128
2024-11-11T17:23:47.228, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:47.402, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:47.402, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:47.402, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:47.585, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:47.585, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:47.585, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:47.772, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:47.772, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:47.772, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:47.955, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:47.955, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:47.955, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:48.137, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:48.137, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:48.137, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:48.323, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:48.323, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:48.323, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:48.509, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:48.509, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:48.509, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:48.692, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:48.692, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:48.692, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:48.874, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:48.874, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:48.874, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:49.060, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:49.060, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:49.060, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:49.246, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:49.246, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:49.246, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:49.431, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:49.431, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:49.431, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:49.616, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:49.616, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:49.616, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:49.808, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:49.808, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:49.808, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:49.990, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:49.990, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:49.990, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:50.174, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:50.174, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:50.174, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:50.354, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:50.354, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:50.354, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:50.536, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:50.536, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:50.536, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:50.717, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:50.717, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:50.717, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
2024-11-11T17:23:50.900, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 2128512
2024-11-11T17:23:50.900, 10.0.3.101:51600, 10.0.1.101:5210, 12, 1448, 65536
2024-11-11T17:23:50.900, 10.0.3.101:22, 10.0.3.1:57892, 12, 1448, 64128
