time,source,destination,cwnd,mss
2024-11-11T13:48:50.440, 10.0.2.101:22, 10.0.2.1:50478, 10, 1448, 64128
2024-11-11T13:49:10.889, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64256
2024-11-11T13:49:11.021, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:11.141, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:11.141, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:11.141, 10.0.2.101:39254, 10.0.1.101:5211, 93, 1448, 1063552
2024-11-11T13:49:11.279, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:11.279, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:11.279, 10.0.2.101:39254, 10.0.1.101:5211, 103, 1448, 1063552
2024-11-11T13:49:11.412, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:11.412, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:11.412, 10.0.2.101:39254, 10.0.1.101:5211, 76, 1448, 1063552
2024-11-11T13:49:11.535, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:11.535, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:11.535, 10.0.2.101:39254, 10.0.1.101:5211, 86, 1448, 1063552
2024-11-11T13:49:11.661, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:11.661, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:11.661, 10.0.2.101:39254, 10.0.1.101:5211, 93, 1448, 1063552
2024-11-11T13:49:11.787, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:11.787, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:11.787, 10.0.2.101:39254, 10.0.1.101:5211, 70, 1448, 1063552
2024-11-11T13:49:11.911, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:11.911, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:11.911, 10.0.2.101:39254, 10.0.1.101:5211, 80, 1448, 1063552
2024-11-11T13:49:12.035, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:12.035, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:12.035, 10.0.2.101:39254, 10.0.1.101:5211, 88, 1448, 1063552
2024-11-11T13:49:12.160, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:12.160, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:12.160, 10.0.2.101:39254, 10.0.1.101:5211, 96, 1448, 1063552
2024-11-11T13:49:12.285, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:12.285, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:12.285, 10.0.2.101:39254, 10.0.1.101:5211, 74, 1448, 1063552
2024-11-11T13:49:12.409, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:12.409, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:12.409, 10.0.2.101:39254, 10.0.1.101:5211, 83, 1448, 1063552
2024-11-11T13:49:12.533, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:12.533, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:12.533, 10.0.2.101:39254, 10.0.1.101:5211, 92, 1448, 1063552
2024-11-11T13:49:12.663, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:12.663, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:12.663, 10.0.2.101:39254, 10.0.1.101:5211, 68, 1448, 1063552
2024-11-11T13:49:12.786, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:12.786, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:12.786, 10.0.2.101:39254, 10.0.1.101:5211, 77, 1448, 1063552
2024-11-11T13:49:12.912, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:12.912, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:12.912, 10.0.2.101:39254, 10.0.1.101:5211, 86, 1448, 1063552
2024-11-11T13:49:13.033, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:13.033, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:13.033, 10.0.2.101:39254, 10.0.1.101:5211, 95, 1448, 1063552
2024-11-11T13:49:13.160, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:13.160, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:13.160, 10.0.2.101:39254, 10.0.1.101:5211, 71, 1448, 1063552
2024-11-11T13:49:13.288, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:13.288, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:13.288, 10.0.2.101:39254, 10.0.1.101:5211, 80, 1448, 1063552
2024-11-11T13:49:13.417, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:13.417, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:13.417, 10.0.2.101:39254, 10.0.1.101:5211, 88, 1448, 1063552
2024-11-11T13:49:13.541, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
2024-11-11T13:49:13.541, 10.0.2.101:39240, 10.0.1.101:5211, 10, 1448, 65536
2024-11-11T13:49:13.541, 10.0.2.101:39254, 10.0.1.101:5211, 68, 1448, 1063552
2024-11-11T13:49:13.666, 10.0.2.101:22, 10.0.2.1:42854, 10, 1448, 64128
