time,source,destination,cwnd,mss
2024-11-11T15:39:27.407, 10.0.1.101:5210, 10.0.2.101:44136, 10, 1448, 65536
2024-11-11T15:39:27.407, 10.0.2.101:44120, 10.0.1.101:5210, 13, 1448, 66688
2024-11-11T15:39:27.407, 10.0.2.101:44136, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T15:39:27.407, 10.0.1.101:5210, 10.0.2.101:44120, 14, 1448, 65536
2024-11-11T15:39:30.674, 10.0.1.101:5210, 10.0.2.101:44136, 10, 1448, 65536
2024-11-11T15:39:30.674, 10.0.2.101:44120, 10.0.1.101:5210, 13, 1448, 66688
2024-11-11T15:39:30.674, 10.0.2.101:44136, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T15:39:30.674, 10.0.1.101:5210, 10.0.2.101:44120, 14, 1448, 65536
2024-11-11T15:39:33.692, 10.0.1.101:5210, 10.0.2.101:44136, 10, 1448, 65536
2024-11-11T15:39:33.692, 10.0.2.101:44120, 10.0.1.101:5210, 13, 1448, 66688
2024-11-11T15:39:33.692, 10.0.2.101:44136, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T15:39:33.692, 10.0.1.101:5210, 10.0.2.101:44120, 14, 1448, 65536
2024-11-11T15:39:36.849, 10.0.1.101:5210, 10.0.2.101:44136, 10, 1448, 65536
2024-11-11T15:39:36.849, 10.0.2.101:44120, 10.0.1.101:5210, 13, 1448, 66688
2024-11-11T15:39:36.849, 10.0.2.101:44136, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T15:39:36.849, 10.0.1.101:5210, 10.0.2.101:44120, 14, 1448, 65536
2024-11-11T15:39:40.006, 10.0.1.101:5210, 10.0.2.101:44136, 10, 1448, 65536
2024-11-11T15:39:40.006, 10.0.2.101:44120, 10.0.1.101:5210, 13, 1448, 66688
2024-11-11T15:39:40.006, 10.0.2.101:44136, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T15:39:40.006, 10.0.1.101:5210, 10.0.2.101:44120, 14, 1448, 65536
2024-11-11T15:39:41.947, 10.0.1.101:5210, 10.0.2.101:44136, 10, 1448, 65536
2024-11-11T15:39:41.947, 10.0.2.101:44120, 10.0.1.101:5210, 13, 1448, 66688
2024-11-11T15:39:41.947, 10.0.2.101:44136, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T15:39:41.947, 10.0.1.101:5210, 10.0.2.101:44120, 14, 1448, 65536
2024-11-11T15:39:44.458, 10.0.1.101:5210, 10.0.2.101:44136, 10, 1448, 65536
2024-11-11T15:39:44.458, 10.0.2.101:44120, 10.0.1.101:5210, 13, 1448, 66688
2024-11-11T15:39:44.458, 10.0.2.101:44136, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T15:39:44.458, 10.0.1.101:5210, 10.0.2.101:44120, 14, 1448, 65536
2024-11-11T15:39:48.443, 10.0.1.101:5210, 10.0.2.101:44136, 10, 1448, 65536
2024-11-11T15:39:48.443, 10.0.1.101:5211, 10.0.3.101:37562, 13, 1448, 65536
