time,source,destination,cwnd,mss,snd_wnd
2024-12-16T14:49:21.517, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:21.517, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:21.607, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:21.607, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:21.699, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:21.699, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:21.790, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:21.790, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:21.881, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:21.881, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:21.970, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:21.970, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.062, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.062, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.153, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.153, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.245, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.245, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.337, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.337, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.432, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.432, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.522, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.522, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.613, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.613, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.705, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.705, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.797, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.797, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.886, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.886, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:22.979, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:22.979, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.068, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.068, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.159, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.159, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.249, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.249, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.342, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.342, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.433, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.433, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.525, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.525, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.616, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.616, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.706, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.706, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.797, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.797, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.890, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.890, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:23.981, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:23.981, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.072, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.072, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.165, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.165, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.257, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.257, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.347, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.347, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.438, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.438, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.533, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.533, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.624, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.624, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.716, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.716, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.806, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.806, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.897, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.897, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:24.987, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:24.987, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.077, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.077, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.168, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.168, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.258, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.258, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.350, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.350, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.442, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.442, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.532, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.532, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.624, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.624, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.717, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.717, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.810, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.810, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:25.901, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.901, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
